State,Governor,Date of Birth,Date of Inauguration,Age at Inauguration,Time in Office,Age,Party
Kentucky,Andy Beshear,"November 29, 1977","December 10, 2019","42 years, 11 days",169 days,"42 years, 180 days",Democratic
Louisiana,John Bel Edwards,"September 16, 1966","January 11, 2016","49 years, 117 days","4 years, 137 days","53 years, 254 days",Democratic
Maine,Janet Mills,"December 30, 1947","January 2, 2019","71 years, 3 days","1 year, 146 days","72 years, 149 days",Democratic
Maryland,Larry Hogan,"May 25, 1956","January 21, 2015","58 years, 241 days","5 years, 127 days","64 years, 2 days",Republican
Massachusetts,Charlie Baker,"November 13, 1956","January 8, 2015","58 years, 56 days","5 years, 140 days","63 years, 196 days",Republican
Michigan,Gretchen Whitmer,"August 23, 1971","January 1, 2019","47 years, 131 days","1 year, 147 days","48 years, 278 days",Democratic
Minnesota,Tim Walz,"April 6, 1964","January 7, 2019","54 years, 276 days","1 year, 141 days","56 years, 51 days",Democratic
Mississippi,Tate Reeves,"June 5, 1974","January 14, 2020","45 years, 223 days",134 days,"45 years, 357 days",Republican
Missouri,Mike Parson,"September 17, 1955","June 1, 2018","62 years, 257 days","1 year, 361 days","64 years, 253 days",Republican
Montana,Steve Bullock,"April 11, 1966","January 7, 2013","46 years, 271 days","7 years, 141 days","54 years, 46 days",Democratic
Nebraska,Pete Ricketts,"August 19, 1964","January 8, 2015","50 years, 142 days","5 years, 140 days","55 years, 282 days",Republican
Nevada,Steve Sisolak,"December 26, 1953","January 7, 2019","65 years, 12 days","1 year, 141 days","66 years, 153 days",Democratic
New Hampshire,Chris Sununu,"November 5, 1974","January 5, 2017","42 years, 61 days","3 years, 143 days","45 years, 204 days",Republican
New Jersey,Phil Murphy,"August 16, 1957","January 16, 2018","60 years, 153 days","2 years, 132 days","62 years, 285 days",Democratic
New Mexico,Michelle Lujan Grisham,"October 24, 1959","January 1, 2019","59 years, 69 days","1 year, 147 days","60 years, 216 days",Democratic
New York,Andrew Cuomo,"December 6, 1957","January 1, 2011","53 years, 26 days","9 years, 147 days","62 years, 173 days",Democratic
North Carolina,Roy Cooper,"June 13, 1957","January 1, 2017","59 years, 202 days","3 years, 147 days","62 years, 349 days",Democratic
North Dakota,Doug Burgum,"August 1, 1956","December 15, 2016","60 years, 136 days","3 years, 164 days","63 years, 300 days",Republican
Ohio,Mike DeWine,"January 5, 1947","January 14, 2019","72 years, 9 days","1 year, 134 days","73 years, 143 days",Republican
Oklahoma,Kevin Stitt,"December 28, 1972","January 14, 2019","46 years, 17 days","1 year, 134 days","47 years, 151 days",Republican
Oregon,Kate Brown,"June 21, 1960","February 18, 2015","54 years, 242 days","5 years, 99 days","59 years, 341 days",Democratic
Pennsylvania,Tom Wolf,"November 17, 1948","January 20, 2015","66 years, 64 days","5 years, 128 days","71 years, 192 days",Democratic
Rhode Island,Gina Raimondo,"May 17, 1971","January 6, 2015","43 years, 234 days","5 years, 142 days","49 years, 10 days",Democratic
South Carolina,Henry McMaster,"May 27, 1947","January 24, 2017","69 years, 242 days","3 years, 124 days","73 years, 0 days",Republican
South Dakota,Kristi Noem,"November 30, 1971","January 5, 2019","47 years, 36 days","1 year, 143 days","48 years, 179 days",Republican
Tennessee,Bill Lee,"October 9, 1959","January 19, 2019","59 years, 102 days","1 year, 129 days","60 years, 231 days",Republican
Texas,Greg Abbott,"November 13, 1957","January 20, 2015","57 years, 68 days","5 years, 128 days","62 years, 196 days",Republican
Utah,Gary Herbert,"May 7, 1947","August 11, 2009","62 years, 96 days","10 years, 290 days","73 years, 20 days",Republican
Vermont,Phil Scott,"August 4, 1958","January 5, 2017","58 years, 154 days","3 years, 143 days","61 years, 297 days",Republican
Virginia,Ralph Northam,"September 13, 1959","January 13, 2018","58 years, 122 days","2 years, 135 days","60 years, 257 days",Democratic
Washington,Jay Inslee,"February 9, 1951","January 16, 2013","61 years, 342 days","7 years, 132 days","69 years, 108 days",Democratic
West Virginia,Jim Justice,"April 27, 1951","January 16, 2017","65 years, 264 days","3 years, 132 days","69 years, 30 days",Republican
Wisconsin,Tony Evers,"November 5, 1951","January 7, 2019","67 years, 63 days","1 year, 141 days","68 years, 204 days",Democratic
Wyoming,Mark Gordon,"March 14, 1957","January 7, 2019","61 years, 299 days","1 year, 141 days","63 years, 74 days",Republican
